n,generation,specimen,fitness,distance
1370,57,1,935.6867549440453,1378.3201694589625
1371,57,2,740.9201453058768,1369.5434922239351
1372,57,3,892.2378597159268,1402.007617938391
1373,57,4,540.4915320149039,1426.1693983595856
1374,57,5,962.0811883805559,1355.9998449347852
1375,57,6,551.1520101138608,1291.9746131011818
1376,57,7,769.643127651756,1351.6861026879135
1377,57,8,681.6227488562854,1326.2739450188756
1378,57,9,731.092066744052,1239.732506761174
1379,57,10,589.7034012241459,1247.4042109187737
1380,57,11,1047.8493445357217,1281.2346796869217
1381,57,12,703.3189136691016,1404.421937220834
1382,57,13,650.9500173888785,1274.62970832581
1383,57,14,864.4963877815876,1268.4783751660543
1384,57,15,810.2486781803319,1310.310207657639
1385,57,16,988.3735182850818,1374.2236892100086
1386,57,17,628.1352922039321,1284.9889270350786
1387,57,18,563.7321543122332,1344.949239727533
1388,57,19,787.5196684336383,1332.9202468155127
1389,57,20,843.8685738871461,1413.4420676332757
1390,57,21,766.2621321534742,1366.3452065037136
1391,57,22,796.780888763411,1387.089293808369
1392,57,23,519.2221374483483,1206.735048460558
1393,58,0,666.8211498665869,1143.4609282067931
1394,58,1,778.8388210888093,1291.208182970467
1395,58,2,949.0619609321886,1374.7373864610513
1396,58,3,869.2576869208331,1296.3646666649038
1397,58,4,829.6703049754444,1350.9719422610608
1398,58,5,832.4125457438604,1237.3694804758507
1399,58,6,673.0676388518505,1274.0997867115425
1400,58,7,632.2253193741193,1239.40720612506
1401,58,8,683.5384373059583,1227.714450402564
1402,58,9,909.606462099543,1317.8496713712557
1403,58,10,622.3990975504453,1355.3071877226082
1404,58,11,679.882868259609,1274.385018937851
1405,58,12,824.383082863762,1376.6305510663901
1406,58,13,787.779717993912,1280.1161231544595
1407,58,14,822.8585152618266,1360.2280989572278
1408,58,15,634.1949075901138,1327.8527592379128
1409,58,16,761.209013001195,1399.4077872306843
1410,58,17,853.1129726969501,1361.8740927646904
1411,58,18,612.5204977641888,1387.6631591976757
1412,58,19,913.8146845920128,1314.139000546953
1413,58,20,750.3086370558416,1295.50561371203
1414,58,21,576.7399435975409,1377.3773490494027
1415,58,22,832.1773501320494,1288.2286489973146
1416,58,23,851.0338370640065,1247.5203721762919
1417,59,0,752.7474060245241,1375.2124811316776
1418,59,1,641.2499571895603,1392.3667435596738
1419,59,2,847.3900216680763,1426.3451210957262
1420,59,3,758.6653740642154,1377.6668373186837
1421,59,4,603.3889633652702,1389.3774708253636
1422,59,5,744.0460893621007,1376.8286664731097
1423,59,6,730.0675495292675,1303.857515654802
1424,59,7,640.9387213303625,1381.2689241582784
1425,59,8,968.7212114084854,1338.6506362529378
1426,59,9,473.5682808082865,1325.2479580189636
1427,59,10,927.1983908871069,1260.641215064022
1428,59,11,695.4043247534158,1273.9481429784332
1429,59,12,796.8394149522496,1207.8332839759232
1430,59,13,722.8223148805605,1333.7763867314825
1431,59,14,853.3015377517714,1239.707592033252
1432,59,15,742.662835976238,1360.7354258735293
1433,59,16,938.485615461655,1270.801745806371
1434,59,17,464.1766040109067,1269.8818400686082
1435,59,18,698.3089185189342,1328.3665848315663
1436,59,19,761.9896347471442,1271.3384223171224
1437,59,20,865.4594010023612,1289.2349506979785
1438,59,21,799.8386948470942,1228.6680410157092
1439,59,22,627.4988218039772,1164.617724065278
1440,59,23,482.57545527029623,1295.2642237813016
1441,60,0,906.122966255299,1294.0531007078157
1442,60,1,972.9641230998863,1407.0065194815593
1443,60,2,903.9706996172007,1277.161827950173
1444,60,3,633.0344103555428,1229.8447704870184
1445,60,4,933.8243078435704,1327.2548038792675
1446,60,5,848.1709651506264,1204.0740238770131
1447,60,6,862.0214171912144,1281.8473142452451
1448,60,7,906.071862935027,1400.7263950339236
1449,60,8,724.3964700011163,1323.0566055164738
1450,60,9,522.156861683414,1418.7124327205124
1451,60,10,954.087098487721,1299.9942427599556
1452,60,11,630.4644608180314,1077.998103488213
1453,60,12,654.3116917832449,1254.2504466166704
1454,60,13,868.8515005027335,1199.0553003906318
1455,60,14,622.4372130375107,1316.9929099461544
1456,60,15,798.5473397421931,1303.2829757761724
1457,60,16,713.174262688348,1359.7476885284493
1458,60,17,666.3655097989671,1344.3338523581206
1459,60,18,698.3772988674788,1295.0196981364454
1460,60,19,478.11870226572614,1325.1872967462104
1461,60,20,689.5149292257335,1269.6808757536062
1462,60,21,682.2773004077684,1332.495219341704
1463,60,22,473.139692759675,1323.8974544633497
1464,60,23,618.478496373335,1359.9685544430388
1465,61,0,717.3350231947104,1388.0723855118
1466,61,1,694.2004830875596,1313.451986403888
1467,61,2,687.9956931883013,1291.8389788277768
1468,61,3,799.8996037722055,1353.8794769823205
1469,61,4,801.3597504391375,1375.7397060523604
1470,61,5,726.9458214307814,1351.7361578407447
1471,61,6,433.9662876527376,1298.0103120463043
1472,61,7,554.7667581783305,1283.2787558664822
1473,61,8,913.0224508310081,1346.466583421222
1474,61,9,284.770014729963,1317.289989957805
1475,61,10,758.0671039612178,1242.0189217242123
1476,61,11,647.6152728524626,1385.1060746591993
1477,61,12,791.0712796717852,1286.326093719738
1478,61,13,653.7352116335355,1333.7210460575818
1479,61,14,623.0456004591297,1200.1618292235994
1480,61,15,635.9876503007222,1328.5121636928607
1481,61,16,712.0748399786709,1341.1861613055564
1482,61,17,980.6699958617465,1228.4861665127105
1483,61,18,728.732279326549,1367.012287163746
1484,61,19,602.2029459433331,1285.1281113930477
1485,61,20,846.2916543591363,1260.721108944301
1486,61,21,712.8788437075286,1246.2878815042982
1487,61,22,746.5416491359965,1189.1337516685169
1488,61,23,851.4290072833985,1292.4650437831426
1489,62,0,759.2359266357745,1285.0058777197146
1490,62,1,756.126449955402,1329.6226500151033
1491,62,2,610.7851798214192,1328.7094251801232
1492,62,3,594.7458053778549,1271.7104327098516
1493,62,4,623.9891086066575,1312.405401189803
1494,62,5,800.164261347802,1354.4060526376354
1495,62,6,856.9803975674901,1324.5558026084373
1496,62,7,799.5601033432146,1262.1314361775526
1497,62,8,741.8816934647713,1365.2429219146923
1498,62,9,656.9225938333548,1372.329702039381
1499,62,10,754.0702106100639,1349.4289501122216
1500,62,11,761.7506646614327,1322.937837329467
1501,62,12,553.4545454646652,1331.4635179121556
1502,62,13,665.1164905309286,1304.153761270428
1503,62,14,702.4738933110548,1307.8791843665458
1504,62,15,793.3208219471545,1422.7292621280205
1505,62,16,744.6364895889357,1297.395402379344
1506,62,17,715.5839806614038,1390.0384981259867
1507,62,18,759.9481014445914,1270.1342649907392
1508,62,19,865.0835126022212,1347.9632315911404
1509,62,20,688.5211300969365,1233.5754084716575
1510,62,21,638.4255717308445,1282.8259774429328
1511,62,22,604.7372036157874,1396.1742522488646
1512,62,23,448.81720161765134,1267.3175872804409
1513,63,0,792.715035593339,1342.4703433169302
1514,63,1,878.4861160501744,1466.9041699955847
1515,63,2,848.5317733295927,1321.42781425124
1516,63,3,707.5195412399094,1166.4475225265176
1517,63,4,700.4269207842113,1374.3364425279046
1518,63,5,681.3582621783032,1308.9323516082018
